"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","data.economie.gouv.fr/5.104.97.33","443","INFO","HTTP","",""
"pre_128cipher","data.economie.gouv.fr/5.104.97.33","443","INFO","No 128 cipher limit bug","",""
"SSLv2","data.economie.gouv.fr/5.104.97.33","443","OK","not offered","",""
"SSLv3","data.economie.gouv.fr/5.104.97.33","443","OK","not offered","",""
"TLS1","data.economie.gouv.fr/5.104.97.33","443","INFO","not offered","",""
"TLS1_1","data.economie.gouv.fr/5.104.97.33","443","INFO","not offered","",""
"TLS1_2","data.economie.gouv.fr/5.104.97.33","443","OK","offered","",""
"TLS1_3","data.economie.gouv.fr/5.104.97.33","443","OK","offered with final","",""
"ALPN_HTTP2","data.economie.gouv.fr/5.104.97.33","443","OK","h2","",""
"ALPN","data.economie.gouv.fr/5.104.97.33","443","INFO","http/1.1","",""
"cipherlist_NULL","data.economie.gouv.fr/5.104.97.33","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","data.economie.gouv.fr/5.104.97.33","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","data.economie.gouv.fr/5.104.97.33","443","OK","not offered","","CWE-327"
"cipherlist_LOW","data.economie.gouv.fr/5.104.97.33","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","data.economie.gouv.fr/5.104.97.33","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","data.economie.gouv.fr/5.104.97.33","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","data.economie.gouv.fr/5.104.97.33","443","INFO","not offered","",""
"cipherlist_STRONG_FS","data.economie.gouv.fr/5.104.97.33","443","OK","offered","",""
"cipher_order-tls1_2","data.economie.gouv.fr/5.104.97.33","443","OK","server","",""
"cipherorder_TLSv1_2","data.economie.gouv.fr/5.104.97.33","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","data.economie.gouv.fr/5.104.97.33","443","OK","server","",""
"FS","data.economie.gouv.fr/5.104.97.33","443","OK","offered","",""
"FS_ciphers","data.economie.gouv.fr/5.104.97.33","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","data.economie.gouv.fr/5.104.97.33","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","data.economie.gouv.fr/5.104.97.33","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","data.economie.gouv.fr/5.104.97.33","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","data.economie.gouv.fr/5.104.97.33","443","INFO","yes","",""
"sessionresumption_ticket","data.economie.gouv.fr/5.104.97.33","443","INFO","supported","",""
"sessionresumption_ID","data.economie.gouv.fr/5.104.97.33","443","INFO","not supported","",""
"TLS_timestamp","data.economie.gouv.fr/5.104.97.33","443","INFO","random","",""
"certificate_compression","data.economie.gouv.fr/5.104.97.33","443","INFO","none","",""
"clientAuth","data.economie.gouv.fr/5.104.97.33","443","INFO","none","",""
"cert_numbers","data.economie.gouv.fr/5.104.97.33","443","INFO","1","",""
"cert_signatureAlgorithm","data.economie.gouv.fr/5.104.97.33","443","OK","SHA256 with RSA","",""
"cert_keySize","data.economie.gouv.fr/5.104.97.33","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","data.economie.gouv.fr/5.104.97.33","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","data.economie.gouv.fr/5.104.97.33","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","data.economie.gouv.fr/5.104.97.33","443","INFO","619DB5C84B76735FBF435C111A1F0402","",""
"cert_serialNumberLen","data.economie.gouv.fr/5.104.97.33","443","INFO","16","",""
"cert_fingerprintSHA1","data.economie.gouv.fr/5.104.97.33","443","INFO","68AD5A3040825E1C302D98F88A44AE5C1563FA56","",""
"cert_fingerprintSHA256","data.economie.gouv.fr/5.104.97.33","443","INFO","6CA0DF9A85079DF072E2DA87FE5504D513F38FD31B23DC85621BEF089A4391A6","",""
