"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.modernisation.gouv.fr/45.223.57.83","443","INFO","HTTP","",""
"pre_128cipher","www.modernisation.gouv.fr/45.223.57.83","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.modernisation.gouv.fr/45.223.57.83","443","OK","not offered","",""
"SSLv3","www.modernisation.gouv.fr/45.223.57.83","443","OK","not offered","",""
"TLS1","www.modernisation.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_1","www.modernisation.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_2","www.modernisation.gouv.fr/45.223.57.83","443","OK","offered","",""
"TLS1_3","www.modernisation.gouv.fr/45.223.57.83","443","OK","offered with final","",""
"ALPN_HTTP2","www.modernisation.gouv.fr/45.223.57.83","443","OK","h2","",""
"cipherlist_NULL","www.modernisation.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.modernisation.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.modernisation.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.modernisation.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.modernisation.gouv.fr/45.223.57.83","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.modernisation.gouv.fr/45.223.57.83","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.modernisation.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipherlist_STRONG_FS","www.modernisation.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipher_order-tls1_2","www.modernisation.gouv.fr/45.223.57.83","443","OK","server","",""
"cipherorder_TLSv1_2","www.modernisation.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.modernisation.gouv.fr/45.223.57.83","443","OK","server","",""
"FS","www.modernisation.gouv.fr/45.223.57.83","443","OK","offered","",""
"FS_ciphers","www.modernisation.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","www.modernisation.gouv.fr/45.223.57.83","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.modernisation.gouv.fr/45.223.57.83","443","OK","prime256v1 secp384r1 secp521r1","",""
