"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","HTTP","",""
"pre_128cipher","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","not offered","",""
"SSLv3","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","not offered","",""
"TLS1","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_1","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_2","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","offered","",""
"TLS1_3","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","offered with final","",""
"ALPN_HTTP2","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","h2","",""
"cipherlist_NULL","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.servicesalapersonne.gouv.fr/45.223.57.83","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipherlist_STRONG_FS","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipher_order-tls1_2","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","server","",""
"cipherorder_TLSv1_2","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","server","",""
"FS","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","offered","",""
"FS_ciphers","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","www.servicesalapersonne.gouv.fr/45.223.57.83","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","'server name/#0' 'max fragment length/#1' 'status request/#5' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","yes","",""
"sessionresumption_ticket","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","supported","",""
"sessionresumption_ID","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","supported","",""
"TLS_timestamp","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","random","",""
"certificate_compression","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","none","",""
"clientAuth","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","none","",""
"cert_numbers","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","1","",""
"cert_signatureAlgorithm","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","SHA256 with RSA","",""
"cert_keySize","www.servicesalapersonne.gouv.fr/45.223.57.83","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","BCCD3521694EB14D1D160475A0618A3E","",""
"cert_serialNumberLen","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","16","",""
"cert_fingerprintSHA1","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","0CCC801F60A5BCF624E00C3CD53841D5BA34C696","",""
"cert_fingerprintSHA256","www.servicesalapersonne.gouv.fr/45.223.57.83","443","INFO","17D71249FF2F6628D215A667B93709DA6BE58A3D4B48DF580E7307E80C3D7626","",""
