"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","metrologie.entreprises.gouv.fr/80.87.236.14","443","INFO","HTTP","",""
"pre_128cipher","metrologie.entreprises.gouv.fr/80.87.236.14","443","INFO","No 128 cipher limit bug","",""
"SSLv2","metrologie.entreprises.gouv.fr/80.87.236.14","443","OK","not offered","",""
"SSLv3","metrologie.entreprises.gouv.fr/80.87.236.14","443","OK","not offered","",""
"TLS1","metrologie.entreprises.gouv.fr/80.87.236.14","443","INFO","not offered","",""
"TLS1_1","metrologie.entreprises.gouv.fr/80.87.236.14","443","INFO","not offered","",""
"TLS1_2","metrologie.entreprises.gouv.fr/80.87.236.14","443","OK","offered","",""
"TLS1_3","metrologie.entreprises.gouv.fr/80.87.236.14","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","metrologie.entreprises.gouv.fr/80.87.236.14","443","INFO","http/1.1","",""
"cipherlist_NULL","metrologie.entreprises.gouv.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","metrologie.entreprises.gouv.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","metrologie.entreprises.gouv.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_LOW","metrologie.entreprises.gouv.fr/80.87.236.14","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","metrologie.entreprises.gouv.fr/80.87.236.14","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","metrologie.entreprises.gouv.fr/80.87.236.14","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","metrologie.entreprises.gouv.fr/80.87.236.14","443","INFO","not offered","",""
"cipherlist_STRONG","metrologie.entreprises.gouv.fr/80.87.236.14","443","OK","offered","",""
"cipher_order-tls1_2","metrologie.entreprises.gouv.fr/80.87.236.14","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","metrologie.entreprises.gouv.fr/80.87.236.14","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
