"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.aeras-infos.fr/193.17.19.225","443","INFO","HTTP","",""
"pre_128cipher","www.aeras-infos.fr/193.17.19.225","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.aeras-infos.fr/193.17.19.225","443","OK","not offered","",""
"SSLv3","www.aeras-infos.fr/193.17.19.225","443","OK","not offered","",""
"TLS1","www.aeras-infos.fr/193.17.19.225","443","INFO","not offered","",""
"TLS1_1","www.aeras-infos.fr/193.17.19.225","443","INFO","not offered","",""
"TLS1_2","www.aeras-infos.fr/193.17.19.225","443","OK","offered","",""
"TLS1_3","www.aeras-infos.fr/193.17.19.225","443","OK","offered with final","",""
"ALPN","www.aeras-infos.fr/193.17.19.225","443","INFO","http/1.1","",""
"cipherlist_NULL","www.aeras-infos.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.aeras-infos.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.aeras-infos.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.aeras-infos.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.aeras-infos.fr/193.17.19.225","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.aeras-infos.fr/193.17.19.225","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.aeras-infos.fr/193.17.19.225","443","OK","offered","",""
"cipherlist_STRONG_FS","www.aeras-infos.fr/193.17.19.225","443","OK","offered","",""
"cipher_order-tls1_2","www.aeras-infos.fr/193.17.19.225","443","OK","server","",""
"cipherorder_TLSv1_2","www.aeras-infos.fr/193.17.19.225","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.aeras-infos.fr/193.17.19.225","443","OK","server","",""
"FS","www.aeras-infos.fr/193.17.19.225","443","OK","offered","",""
"FS_ciphers","www.aeras-infos.fr/193.17.19.225","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","www.aeras-infos.fr/193.17.19.225","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.aeras-infos.fr/193.17.19.225","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.aeras-infos.fr/193.17.19.225","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.aeras-infos.fr/193.17.19.225","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.aeras-infos.fr/193.17.19.225","443","INFO","yes","",""
"sessionresumption_ticket","www.aeras-infos.fr/193.17.19.225","443","INFO","supported","",""
"sessionresumption_ID","www.aeras-infos.fr/193.17.19.225","443","INFO","supported","",""
"TLS_timestamp","www.aeras-infos.fr/193.17.19.225","443","INFO","random","",""
"certificate_compression","www.aeras-infos.fr/193.17.19.225","443","INFO","none","",""
"clientAuth","www.aeras-infos.fr/193.17.19.225","443","INFO","none","",""
"cert_numbers","www.aeras-infos.fr/193.17.19.225","443","INFO","1","",""
"cert_signatureAlgorithm","www.aeras-infos.fr/193.17.19.225","443","OK","SHA256 with RSA","",""
"cert_keySize","www.aeras-infos.fr/193.17.19.225","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","www.aeras-infos.fr/193.17.19.225","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.aeras-infos.fr/193.17.19.225","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.aeras-infos.fr/193.17.19.225","443","INFO","DA53F3AB51102B9B19837953950BC43C","",""
"cert_serialNumberLen","www.aeras-infos.fr/193.17.19.225","443","INFO","16","",""
"cert_fingerprintSHA1","www.aeras-infos.fr/193.17.19.225","443","INFO","EB144639D91B12A75457FADF1D6A4F0FF2A07FB9","",""
"cert_fingerprintSHA256","www.aeras-infos.fr/193.17.19.225","443","INFO","7AF735AF44402D8887E634558A21E422EEF2B108969FAC926054B34FD2F9A74C","",""
